education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,Sex_age,income
9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_>60,<=50K
9.0,0.0,0.0,45.0,Private,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,Male_25–60,<=50K
8.0,0.0,0.0,50.0,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Mexico,Male_<25,<=50K
9.0,0.0,0.0,35.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,United-States,Female_25–60,<=50K
9.0,0.0,0.0,25.0,Private,HS-grad,Never-married,Other-service,Own-child,Black,United-States,Female_<25,<=50K
10.0,0.0,0.0,50.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Tech-support,Wife,White,United-States,Female_25–60,>50K
9.0,0.0,0.0,35.0,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Federal-gov,HS-grad,Never-married,Prof-specialty,Own-child,White,United-States,Female_25–60,<=50K
10.0,0.0,0.0,56.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
13.0,5629.1235,0.0,50.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
10.0,0.0,0.0,40.0,Private,Some-college,Divorced,Exec-managerial,Unmarried,Black,United-States,Female_25–60,>50K
10.0,0.0,0.0,20.0,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,United-States,Male_<25,<=50K
6.0,0.0,0.0,30.0,Private,HS-grad,Divorced,Other-service,Not-in-family,White,United-States,Female_>60,<=50K
16.0,0.0,0.0,40.0,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Self-emp-inc,1st-4th,Married-civ-spouse,Sales,Husband,Other,Mexico,Male_25–60,<=50K
9.0,0.0,0.0,48.0,Private,9th,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,United-States,Female_<25,<=50K
9.0,0.0,0.0,40.0,Federal-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,United-States,Male_25–60,<=50K
7.0,0.0,0.0,40.0,Private,5th-6th,Married-civ-spouse,Other-service,Husband,White,Mexico,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male_25–60,<=50K
2.0,0.0,0.0,45.0,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Peru,Male_>60,<=50K
8.0,0.0,0.0,70.0,Self-emp-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,United-States,Male_25–60,<=50K
13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,United-States,Male_25–60,<=50K
5.0,0.0,0.0,20.0,Private,HS-grad,Never-married,Sales,Not-in-family,White,United-States,Male_<25,<=50K
9.0,0.0,0.0,40.0,Federal-gov,11th,Never-married,Machine-op-inspct,Unmarried,Black,United-States,Female_25–60,<=50K
9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,United-States,Female_<25,<=50K
9.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,United-States,Female_25–60,<=50K
11.0,0.0,0.0,40.0,State-gov,Masters,Married-civ-spouse,Prof-specialty,Unmarried,Black,United-States,Male_25–60,<=50K
12.0,0.0,0.0,40.0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Female_25–60,>50K
8.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Black,United-States,Male_25–60,<=50K
14.0,0.0,4356.0,48.0,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
10.0,0.0,0.0,40.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,<=50K
11.0,99999.0,0.0,50.0,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,50.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Mexico,Male_25–60,<=50K
13.0,99999.0,0.0,40.0,Private,Bachelors,Divorced,Prof-specialty,Unmarried,White,United-States,Female_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,United-States,Female_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,39.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,United-States,Male_<25,<=50K
9.0,0.0,0.0,40.0,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
6.0,0.0,0.0,40.0,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,United-States,Female_25–60,<=50K
9.0,0.0,0.0,99.0,Self-emp-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,United-States,Female_<25,<=50K
9.0,0.0,0.0,32.0,Local-gov,HS-grad,Divorced,Protective-serv,Unmarried,White,United-States,Female_25–60,<=50K
13.0,0.0,0.0,30.0,Local-gov,Doctorate,Never-married,Prof-specialty,Own-child,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Federal-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,1.0,Self-emp-inc,HS-grad,Never-married,Other-service,Own-child,White,United-States,Female_<25,<=50K
9.0,0.0,0.0,35.0,Private,HS-grad,Divorced,Farming-fishing,Other-relative,White,United-States,Male_25–60,<=50K
11.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Other-service,Not-in-family,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,Male_25–60,<=50K
9.0,99999.0,0.0,50.0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Canada,Male_25–60,<=50K
13.0,0.0,0.0,50.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,United-States,Male_25–60,>50K
10.0,0.0,0.0,40.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Husband,Black,United-States,Male_25–60,<=50K
11.0,0.0,0.0,40.0,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,United-States,Male_25–60,<=50K
13.0,0.0,0.0,40.0,Private,Bachelors,Married-spouse-absent,Sales,Unmarried,White,United-States,Female_25–60,>50K
10.0,0.0,0.0,40.0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Federal-gov,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,United-States,Female_25–60,>50K
13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
10.0,0.0,0.0,1.0,Self-emp-not-inc,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,Male_<25,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Sales,Own-child,Black,United-States,Female_<25,<=50K
4.0,0.0,0.0,40.0,Private,10th,Never-married,Tech-support,Own-child,Black,United-States,Male_<25,<=50K
15.0,0.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
13.0,0.0,0.0,42.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,United-States,Male_25–60,<=50K
13.0,0.0,0.0,99.0,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
11.0,0.0,0.0,40.0,Self-emp-not-inc,Prof-school,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,<=50K
13.0,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Black,Japan,Male_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,<=50K
13.0,0.0,0.0,48.0,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,55.0,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,United-States,Male_25–60,<=50K
11.0,0.0,0.0,40.0,Self-emp-inc,Doctorate,Widowed,Prof-specialty,Other-relative,White,United-States,Female_25–60,<=50K
9.0,0.0,0.0,40.0,Self-emp-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,Male_25–60,>50K
10.0,0.0,0.0,35.0,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,United-States,Male_<25,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Other-service,Own-child,White,United-States,Male_<25,<=50K
13.0,0.0,0.0,40.0,Local-gov,Masters,Divorced,Prof-specialty,Husband,Black,United-States,Female_25–60,>50K
9.0,0.0,0.0,50.0,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Local-gov,Doctorate,Married-spouse-absent,Prof-specialty,Unmarried,Asian-Pac-Islander,United-States,Female_25–60,>50K
13.0,0.0,0.0,40.0,Without-pay,Bachelors,Never-married,Exec-managerial,Own-child,White,United-States,Female_25–60,<=50K
16.0,99999.0,0.0,40.0,Local-gov,Masters,Never-married,Prof-specialty,Unmarried,White,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,United-States,Male_25–60,<=50K
1.0,0.0,0.0,40.0,Private,9th,Separated,Other-service,Not-in-family,Black,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Tech-support,Own-child,Black,United-States,Male_<25,<=50K
10.0,0.0,0.0,40.0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,Male_<25,<=50K
13.0,0.0,0.0,40.0,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Female_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Other-service,Own-child,White,United-States,Male_25–60,<=50K
14.0,0.0,0.0,40.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,>50K
7.0,0.0,0.0,40.0,Private,11th,Married-civ-spouse,Other-service,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,50.0,Private,Some-college,Divorced,Sales,Not-in-family,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,44.0,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,1.0,Private,HS-grad,Never-married,Tech-support,Own-child,White,United-States,Female_<25,<=50K
9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male_25–60,<=50K
