education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,Sex_age,income
9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Black,United-States,Female_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Tech-support,Wife,White,United-States,Male_25–60,>50K
10.0,0.0,0.0,36.0,Private,Bachelors,Never-married,Adm-clerical,Husband,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,United-States,Female_25–60,<=50K
9.0,99999.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,United-States,Male_25–60,<=50K
10.0,0.0,0.0,38.0,Private,Some-college,Never-married,Exec-managerial,Not-in-family,Black,United-States,Female_<25,<=50K
11.0,0.0,0.0,50.0,Self-emp-not-inc,Doctorate,Married-civ-spouse,Protective-serv,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,10th,Never-married,Craft-repair,Not-in-family,White,United-States,Male_<25,<=50K
15.0,0.0,0.0,40.0,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,United-States,Female_25–60,<=50K
9.0,0.0,0.0,50.0,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,El-Salvador,Female_25–60,<=50K
7.0,0.0,0.0,40.0,Private,10th,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,United-States,Male_25–60,<=50K
13.0,0.0,0.0,50.0,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male_25–60,<=50K
12.0,0.0,0.0,40.0,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Female_25–60,>50K
9.0,0.0,0.0,35.0,Private,Assoc-voc,Married-spouse-absent,Craft-repair,Not-in-family,White,United-States,Male_<25,<=50K
11.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,United-States,Female_25–60,>50K
14.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,United-States,Male_<25,<=50K
