education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,Sex_age,income
10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,>50K
13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male_25–60,>50K
9.0,0.0,0.0,40.0,Self-emp-not-inc,10th,Divorced,Farming-fishing,Not-in-family,White,Mexico,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Self-emp-not-inc,11th,Divorced,Transport-moving,Not-in-family,White,United-States,Female_>60,<=50K
10.0,0.0,0.0,40.0,Private,Some-college,Separated,Exec-managerial,Own-child,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Black,United-States,Male_25–60,<=50K
9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Other-service,Not-in-family,White,United-States,Male_25–60,<=50K
10.0,0.0,0.0,39.0,Self-emp-inc,Doctorate,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,<=50K
9.0,0.0,0.0,1.0,Private,HS-grad,Widowed,Other-service,Not-in-family,White,United-States,Female_>60,<=50K
12.0,0.0,0.0,40.0,Private,Some-college,Never-married,Sales,Not-in-family,White,United-States,Female_<25,<=50K
12.0,0.0,0.0,45.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,United-States,Male_25–60,>50K
13.0,0.0,0.0,35.0,Private,Bachelors,Never-married,Other-service,Not-in-family,White,United-States,Female_<25,<=50K
10.0,0.0,0.0,17.0,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,United-States,Female_<25,<=50K
13.0,0.0,0.0,50.0,Local-gov,Assoc-acdm,Never-married,Tech-support,Unmarried,Black,United-States,Female_25–60,>50K
10.0,0.0,0.0,45.0,Private,HS-grad,Never-married,Adm-clerical,Husband,Black,United-States,Male_25–60,<=50K
