workclass,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,Sex_age,income
Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,3600,0,57,United-States,Female_<25,<=50K
Private,Some-college,10,Never-married,Priv-house-serv,Own-child,White,9,0,25,United-States,Female_25–60,<=50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,6,0,21,Puerto-Rico,Female_25–60,<=50K
Private,Assoc-voc,4,Married-civ-spouse,Adm-clerical,Husband,White,2,0,40,United-States,Male_25–60,<=50K
Private,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,7598,0,40,United-States,Female_25–60,>50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,-3,0,26,United-States,Male_>60,<=50K
Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,6,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Separated,Sales,Own-child,White,-3,0,61,United-States,Male_25–60,<=50K
Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,6,0,40,United-States,Male_25–60,>50K
State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,-12,0,40,United-States,Female_25–60,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,3,0,40,United-States,Male_25–60,<=50K
Private,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,10,0,40,Vietnam,Female_<25,>50K
State-gov,Bachelors,13,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,-7,0,40,United-States,Female_25–60,<=50K
Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,-2,1,40,United-States,Male_25–60,>50K
Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,3425,0,40,United-States,Male_25–60,>50K
Without-pay,HS-grad,9,Never-married,Exec-managerial,Own-child,White,-11,0,22,United-States,Male_<25,<=50K
Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,3423,0,40,United-States,Female_25–60,>50K
Private,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,0,0,40,United-States,Male_>60,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,3,1864,40,Vietnam,Male_25–60,>50K
Private,5th-6th,2,Divorced,Handlers-cleaners,Unmarried,White,-3,0,40,El-Salvador,Female_25–60,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,7,0,40,United-States,Female_<25,<=50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,1,0,40,India,Male_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,3827,0,114,United-States,Male_25–60,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,2,1857,40,United-States,Male_25–60,>50K
Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,-2,0,57,United-States,Male_<25,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,-5,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,1,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Never-married,Other-service,Other-relative,Black,6,0,35,United-States,Female_<25,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,5,0,79,Germany,Male_25–60,<=50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,8,0,40,United-States,Male_25–60,>50K
Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,4,0,40,United-States,Female_25–60,<=50K
Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,3739,0,22,United-States,Male_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,6,2095,40,United-States,Male_25–60,>50K
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,3920,0,59,France,Male_25–60,<=50K
Private,9th,4,Married-civ-spouse,Tech-support,Other-relative,White,2,0,40,Mexico,Male_25–60,<=50K
Private,HS-grad,9,Widowed,Other-service,Other-relative,White,1,0,57,United-States,Female_25–60,<=50K
Private,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,-2,0,58,United-States,Female_25–60,<=50K
Self-emp-not-inc,5th-6th,4,Married-civ-spouse,Farming-fishing,Husband,White,7,0,48,Mexico,Male_25–60,<=50K
Private,HS-grad,9,Divorced,Other-service,Unmarried,Black,-2,0,40,United-States,Female_25–60,>50K
Federal-gov,Assoc-acdm,14,Divorced,Prof-specialty,Unmarried,White,15078,0,58,United-States,Female_25–60,>50K
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,3829,0,40,United-States,Male_>60,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,-3,0,40,Cambodia,Male_25–60,<=50K
Self-emp-not-inc,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,10,0,61,Cuba,Male_25–60,>50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,-6,2064,56,United-States,Female_25–60,>50K
Self-emp-inc,Masters,13,Married-spouse-absent,Prof-specialty,Other-relative,Asian-Pac-Islander,3705,0,40,South,Female_25–60,<=50K
Self-emp-not-inc,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,7,0,62,United-States,Male_25–60,<=50K
Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,2,0,39,United-States,Male_25–60,>50K
State-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,1,0,40,United-States,Male_25–60,<=50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,1,0,40,United-States,Male_<25,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,14946,0,59,Japan,Male_25–60,>50K
Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,15087,2089,40,United-States,Female_25–60,>50K
