workclass,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,Sex_age,income
Private,12th,7,Married-spouse-absent,Sales,Unmarried,White,-3,0,47,United-States,Male_25–60,<=50K
Private,9th,10,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,3665,0,40,Columbia,Female_25–60,<=50K
Private,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,White,-4,0,40,United-States,Female_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,0,0,40,United-States,Male_>60,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,15009,0,57,United-States,Female_25–60,>50K
Private,9th,5,Separated,Craft-repair,Own-child,White,-3,0,40,United-States,Female_25–60,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,2,0,57,Trinadad&Tobago,Male_<25,<=50K
Private,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,-4,0,40,France,Female_25–60,<=50K
Private,1st-4th,2,Separated,Craft-repair,Not-in-family,White,4,1,47,Mexico,Male_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,-3,1,27,United-States,Male_>60,<=50K
Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,10,0,40,Puerto-Rico,Male_25–60,<=50K
Private,9th,4,Married-civ-spouse,Protective-serv,Husband,White,-6,0,47,United-States,Male_>60,<=50K
Private,HS-grad,9,Married-spouse-absent,Other-service,Unmarried,Amer-Indian-Eskimo,1,0,40,United-States,Female_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,4,0,40,United-States,Male_>60,<=50K
Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,3679,0,102,United-States,Male_25–60,>50K
Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,5,0,19,United-States,Female_<25,<=50K
State-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,2,0,22,United-States,Female_>60,<=50K
Private,Preschool,1,Separated,Handlers-cleaners,Not-in-family,White,-8,0,40,Philippines,Female_25–60,<=50K
Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,-4,0,40,United-States,Male_>60,<=50K
State-gov,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,5,0,22,United-States,Male_<25,<=50K
Private,11th,7,Never-married,Other-service,Not-in-family,White,1,0,40,Mexico,Male_<25,<=50K
Private,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,-7,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Widowed,Tech-support,Not-in-family,White,-6,0,40,United-States,Female_>60,<=50K
Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,4,0,40,United-States,Male_25–60,<=50K
State-gov,Some-college,10,Never-married,Transport-moving,Unmarried,Amer-Indian-Eskimo,-4,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,4,0,38,Ireland,Female_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,1,1856,61,United-States,Male_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,3757,0,40,Peru,Male_25–60,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,1,0,40,United-States,Female_<25,<=50K
Without-pay,HS-grad,9,Never-married,Farming-fishing,Own-child,White,-3,0,57,United-States,Female_25–60,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,-11,1858,22,United-States,Female_25–60,>50K
Self-emp-not-inc,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,-8,0,40,Germany,Male_25–60,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,3478,0,22,United-States,Female_25–60,<=50K
Private,10th,6,Divorced,Machine-op-inspct,Unmarried,Black,-5,0,40,United-States,Female_25–60,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,-1,0,36,United-States,Male_<25,<=50K
State-gov,Assoc-voc,11,Divorced,Tech-support,Own-child,White,6,0,40,United-States,Male_<25,<=50K
Self-emp-not-inc,Doctorate,16,Married-AF-spouse,Prof-specialty,Wife,White,101975,0,109,United-States,Male_25–60,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,8,0,40,United-States,Male_25–60,<=50K
State-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Other,1,0,39,United-States,Male_>60,<=50K
Federal-gov,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,0,0,40,United-States,Female_25–60,<=50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,-7,0,58,United-States,Male_25–60,>50K
Self-emp-not-inc,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,-1,0,40,Mexico,Male_25–60,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,6,0,40,Germany,Male_25–60,>50K
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,1,0,40,Puerto-Rico,Male_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,-3,0,57,United-States,Male_25–60,<=50K
Private,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,7,0,38,United-States,Female_25–60,<=50K
Private,Some-college,10,Divorced,Transport-moving,Not-in-family,Other,0,0,40,United-States,Male_25–60,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,6,0,58,United-States,Male_25–60,>50K
Private,HS-grad,9,Separated,Priv-house-serv,Unmarried,White,5,0,40,Columbia,Female_25–60,<=50K
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,3,1,40,Japan,Female_25–60,<=50K
Local-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,3,0,40,United-States,Female_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,-1,0,40,United-States,Male_>60,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,-5,0,57,United-States,Female_<25,<=50K
Private,5th-6th,3,Never-married,Craft-repair,Not-in-family,Other,2,0,40,El-Salvador,Male_<25,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,40,Nicaragua,Male_25–60,<=50K
Private,12th,7,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,7,0,22,Philippines,Female_25–60,<=50K
Private,Some-college,10,Never-married,Other-service,Not-in-family,White,5,0,22,United-States,Female_<25,<=50K
Local-gov,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,10,0,114,United-States,Male_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,2,0,40,Philippines,Female_25–60,>50K
Private,HS-grad,14,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,8,0,40,Philippines,Male_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Black,3857,0,40,United-States,Female_25–60,>50K
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,15031,0,47,United-States,Male_25–60,>50K
Private,Bachelors,13,Never-married,Sales,Not-in-family,Black,0,0,40,United-States,Female_<25,<=50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,4,0,40,United-States,Male_<25,<=50K
Self-emp-not-inc,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,-1,0,40,United-States,Male_>60,<=50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,9,0,40,United-States,Female_25–60,>50K
Private,9th,5,Never-married,Other-service,Not-in-family,White,7,0,40,United-States,Male_<25,<=50K
Local-gov,HS-grad,9,Divorced,Handlers-cleaners,Other-relative,Black,4,0,37,United-States,Male_25–60,<=50K
Private,9th,4,Married-civ-spouse,Craft-repair,Husband,White,2,0,40,United-States,Male_25–60,<=50K
Private,11th,7,Married-civ-spouse,Adm-clerical,Own-child,White,3,0,39,United-States,Female_25–60,<=50K
Private,1st-4th,2,Married-civ-spouse,Sales,Wife,White,13,0,40,Portugal,Female_25–60,>50K
Private,Some-college,10,Never-married,Sales,Own-child,White,8,0,36,United-States,Female_<25,<=50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,3,0,40,United-States,Female_25–60,>50K
Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,-3,0,40,United-States,Male_25–60,<=50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,7697,1,40,United-States,Male_>60,>50K
Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,Black,-9,0,37,United-States,Male_25–60,<=50K
Private,Some-college,10,Divorced,Adm-clerical,Unmarried,Other,3,0,40,United-States,Female_25–60,<=50K
Private,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,2,0,40,United-States,Female_25–60,<=50K
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,-4,0,40,Trinadad&Tobago,Male_25–60,<=50K
Private,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,2,0,40,United-States,Female_25–60,>50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,3,0,40,United-States,Female_25–60,<=50K
State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,-3,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,6,0,47,United-States,Female_25–60,>50K
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,4,0,40,United-States,Female_25–60,<=50K
State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,5,0,40,United-States,Male_25–60,>50K
Private,10th,7,Never-married,Sales,Not-in-family,White,-4,0,40,Canada,Male_25–60,<=50K
Private,11th,7,Divorced,Machine-op-inspct,Unmarried,Asian-Pac-Islander,-4,0,40,Outlying-US(Guam-USVI-etc),Female_25–60,<=50K
Self-emp-inc,Doctorate,14,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,7,0,22,South,Female_>60,<=50K
Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,3,0,38,United-States,Male_25–60,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,2,0,58,United-States,Male_25–60,<=50K
Private,Masters,14,Divorced,Exec-managerial,Other-relative,White,3750,0,40,United-States,Male_25–60,<=50K
Federal-gov,Some-college,10,Separated,Prof-specialty,Unmarried,White,3485,0,40,United-States,Male_25–60,>50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,8,0,38,United-States,Male_<25,<=50K
Private,Prof-school,14,Married-civ-spouse,Prof-specialty,Husband,White,3,0,61,United-States,Male_25–60,>50K
Federal-gov,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,7676,0,40,United-States,Male_25–60,>50K
