workclass,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,Sex_age,income
Private,HS-grad,9,Married-spouse-absent,Other-service,Own-child,Amer-Indian-Eskimo,-2,0,40,United-States,Male_25–60,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,-8,0,40,United-States,Male_25–60,<=50K
Private,10th,7,Married-civ-spouse,Exec-managerial,Husband,White,15,0,78,United-States,Male_25–60,<=50K
Local-gov,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,-4,0,58,United-States,Female_25–60,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,4,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,2,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,5th-6th,4,Married-civ-spouse,Sales,Husband,White,-4,0,40,United-States,Male_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,5,1860,40,South,Male_25–60,>50K
Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,-3,0,40,United-States,Female_25–60,<=50K
Private,1st-4th,3,Married-civ-spouse,Transport-moving,Other-relative,White,6,0,40,Mexico,Male_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,2,0,40,United-States,Male_25–60,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Sales,Wife,White,7658,0,40,United-States,Female_25–60,>50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,-1,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Black,3,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,5th-6th,4,Married-civ-spouse,Craft-repair,Husband,White,-2,0,35,Japan,Male_25–60,<=50K
Private,1st-4th,4,Never-married,Priv-house-serv,Own-child,White,3,0,38,United-States,Female_25–60,<=50K
Private,12th,7,Divorced,Craft-repair,Own-child,White,0,0,40,United-States,Male_25–60,<=50K
Federal-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,1,0,57,United-States,Female_25–60,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,3689,0,40,United-States,Female_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,3,0,40,United-States,Male_25–60,<=50K
Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,-7,0,40,United-States,Male_25–60,<=50K
Private,9th,3,Separated,Machine-op-inspct,Unmarried,White,4,0,40,Mexico,Female_25–60,<=50K
