workclass,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,Sex_age,income
Private,7th-8th,5,Married-civ-spouse,Craft-repair,Husband,White,2,0,40,United-States,Male_25–60,<=50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,6,0,36,Outlying-US(Guam-USVI-etc),Male_<25,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,7,0,57,United-States,Male_25–60,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,5,0,48,United-States,Male_25–60,<=50K
Local-gov,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,2,0,40,United-States,Female_25–60,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,-1,0,40,Mexico,Female_25–60,<=50K
Private,11th,7,Divorced,Sales,Not-in-family,White,6,0,40,United-States,Female_>60,<=50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,Black,3,0,48,United-States,Female_25–60,<=50K
Private,9th,4,Never-married,Machine-op-inspct,Not-in-family,Other,1,0,36,United-States,Female_<25,<=50K
Federal-gov,Some-college,10,Never-married,Adm-clerical,Own-child,Black,2,0,25,United-States,Female_25–60,<=50K
Self-emp-inc,Some-college,10,Never-married,Sales,Not-in-family,White,2,0,55,United-States,Male_<25,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,-2,0,40,Portugal,Male_25–60,>50K
Private,7th-8th,4,Divorced,Handlers-cleaners,Husband,White,2,0,37,United-States,Male_>60,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,3732,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,7,0,40,United-States,Male_25–60,<=50K
Private,Doctorate,16,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,15,1,40,Philippines,Male_25–60,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,-5,0,40,United-States,Male_25–60,<=50K
Private,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,White,1,0,57,United-States,Male_<25,<=50K
Local-gov,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,2,0,40,Mexico,Male_25–60,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,2,1858,40,United-States,Female_25–60,>50K
Private,HS-grad,9,Never-married,Exec-managerial,Own-child,White,5,0,39,United-States,Female_25–60,<=50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,2,0,37,United-States,Male_<25,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,2,0,61,United-States,Female_25–60,>50K
Private,HS-grad,9,Married-spouse-absent,Other-service,Unmarried,White,4,0,35,El-Salvador,Female_25–60,<=50K
Private,HS-grad,9,Separated,Exec-managerial,Unmarried,White,-4,0,57,United-States,Female_25–60,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Own-child,White,-3,0,40,United-States,Female_>60,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,-5,0,58,United-States,Male_25–60,>50K
Private,7th-8th,4,Separated,Other-service,Not-in-family,White,-1,0,37,Cuba,Female_25–60,<=50K
Self-emp-not-inc,Assoc-acdm,12,Divorced,Exec-managerial,Husband,White,8,0,39,United-States,Male_>60,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,7,0,40,Canada,Female_25–60,>50K
State-gov,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,-3,0,40,Vietnam,Male_25–60,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,-1,0,24,United-States,Male_>60,<=50K
Local-gov,Some-college,10,Married-spouse-absent,Adm-clerical,Not-in-family,White,4,0,112,United-States,Male_25–60,<=50K
Self-emp-inc,Assoc-acdm,16,Married-civ-spouse,Transport-moving,Husband,White,6,0,61,Greece,Male_25–60,<=50K
Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,1,0,40,United-States,Male_25–60,<=50K
Private,Assoc-voc,11,Separated,Craft-repair,Unmarried,White,-3,0,40,United-States,Female_25–60,<=50K
Local-gov,HS-grad,9,Married-spouse-absent,Craft-repair,Other-relative,White,6,0,40,United-States,Male_25–60,<=50K
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,2,0,39,Trinadad&Tobago,Female_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,2,0,38,United-States,Male_25–60,<=50K
Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,0,1,23,United-States,Male_>60,<=50K
State-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,5,0,40,United-States,Female_>60,<=50K
Self-emp-not-inc,HS-grad,9,Widowed,Craft-repair,Unmarried,White,2,0,48,United-States,Female_25–60,<=50K
Self-emp-inc,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,4,0,58,United-States,Male_25–60,>50K
Private,Assoc-voc,11,Widowed,Craft-repair,Not-in-family,Asian-Pac-Islander,2,0,58,Cambodia,Male_25–60,<=50K
Private,12th,7,Never-married,Adm-clerical,Other-relative,White,6,0,23,United-States,Female_<25,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,2,0,58,United-States,Male_25–60,<=50K
Local-gov,Masters,12,Married-civ-spouse,Prof-specialty,Husband,White,9,0,59,United-States,Male_25–60,>50K
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,3,0,40,United-States,Female_25–60,>50K
Local-gov,Some-college,10,Never-married,Prof-specialty,Own-child,White,4,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,0,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,-1,0,40,United-States,Male_25–60,<=50K
Private,10th,7,Divorced,Craft-repair,Husband,Amer-Indian-Eskimo,-1,0,40,United-States,Male_25–60,<=50K
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,0,0,21,United-States,Male_<25,<=50K
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,-5,0,40,Philippines,Male_25–60,<=50K
Private,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,-4,0,40,United-States,Female_25–60,<=50K
State-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,White,1,0,40,United-States,Female_25–60,<=50K
Private,7th-8th,4,Never-married,Farming-fishing,Own-child,White,0,0,56,United-States,Male_<25,<=50K
Private,Bachelors,13,Never-married,Craft-repair,Own-child,White,-13,0,39,United-States,Male_<25,<=50K
Self-emp-inc,Bachelors,13,Divorced,Transport-moving,Not-in-family,White,3583,0,62,United-States,Male_25–60,>50K
Private,10th,6,Divorced,Handlers-cleaners,Unmarried,Black,7,0,40,United-States,Male_25–60,<=50K
State-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,-9,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Other,3,0,58,United-States,Male_25–60,<=50K
Local-gov,9th,4,Married-civ-spouse,Craft-repair,Husband,White,-2,0,40,United-States,Male_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,-4,0,40,United-States,Male_25–60,>50K
Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,0,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Never-married,Farming-fishing,Own-child,White,2,0,40,United-States,Male_<25,<=50K
Self-emp-not-inc,12th,9,Never-married,Other-service,Not-in-family,White,3766,0,22,United-States,Female_<25,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,6,0,39,United-States,Male_25–60,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,8,0,61,South,Male_25–60,<=50K
Without-pay,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,-7,0,22,United-States,Female_25–60,<=50K
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,0,0,40,United-States,Female_>60,<=50K
Private,7th-8th,5,Married-civ-spouse,Other-service,Husband,White,4,0,47,United-States,Male_25–60,<=50K
Private,Assoc-acdm,12,Separated,Tech-support,Unmarried,Other,4,0,58,United-States,Male_25–60,<=50K
Local-gov,Masters,14,Married-civ-spouse,Protective-serv,Husband,White,3,0,40,United-States,Female_>60,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,5,0,40,United-States,Male_25–60,<=50K
Self-emp-inc,11th,7,Never-married,Handlers-cleaners,Own-child,White,14,0,40,United-States,Male_25–60,<=50K
Private,12th,7,Married-spouse-absent,Adm-clerical,Unmarried,Asian-Pac-Islander,3872,0,40,Vietnam,Female_25–60,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,-1,0,40,United-States,Male_25–60,>50K
Private,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,-1,0,40,United-States,Male_25–60,<=50K
Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,2,0,48,United-States,Male_25–60,>50K
Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,-1,0,40,United-States,Female_25–60,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,White,1,0,40,United-States,Male_25–60,>50K
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,4,0,38,United-States,Female_25–60,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,Black,3451,0,21,United-States,Male_<25,<=50K
Private,10th,7,Married-civ-spouse,Craft-repair,Husband,White,3802,0,40,United-States,Male_>60,<=50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,6,1,62,United-States,Male_25–60,<=50K
Private,5th-6th,3,Never-married,Transport-moving,Not-in-family,White,3,0,40,Mexico,Male_25–60,<=50K
Self-emp-not-inc,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,White,-8,2082,58,United-States,Male_25–60,>50K
Private,HS-grad,9,Divorced,Farming-fishing,Unmarried,White,1,0,58,United-States,Female_25–60,<=50K
Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,0,0,58,United-States,Female_25–60,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,0,1,40,Philippines,Female_25–60,>50K
Private,5th-6th,4,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,-11,0,40,Hong,Male_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,-1,0,40,United-States,Male_25–60,<=50K
Private,5th-6th,5,Married-civ-spouse,Machine-op-inspct,Husband,Other,0,1866,40,Peru,Male_>60,<=50K
Private,12th,7,Never-married,Machine-op-inspct,Not-in-family,White,-2,1,40,Canada,Male_25–60,<=50K
Local-gov,Assoc-voc,11,Never-married,Other-service,Unmarried,White,-5,0,40,United-States,Female_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,3813,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,Some-college,10,Married-AF-spouse,Other-service,Wife,White,7766,0,37,United-States,Female_25–60,>50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,4,0,80,United-States,Male_25–60,>50K
Private,Masters,14,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,-2,0,39,Cambodia,Male_25–60,<=50K
Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,-3,0,40,United-States,Female_25–60,>50K
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,-2,0,34,United-States,Male_<25,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,9,0,48,United-States,Female_25–60,<=50K
State-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,2,0,40,United-States,Female_25–60,<=50K
